City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Oussouye,SN,81.79,moderate rain,12.485,-16.5469,
262,Samarai,PG,79.03,overcast clouds,-10.6167,150.6667,
264,Perelyub,RU,84.67,few clouds,51.8667,50.3667,
267,Batticaloa,LK,81.97,overcast clouds,7.7102,81.6924,
269,Nantucket,US,82.54,clear sky,41.2835,-70.0995,
275,Marsa Matruh,EG,82.13,clear sky,31.3525,27.2453,
278,Chiang Rai,TH,76.98,broken clouds,19.9167,99.9167,
279,Moa,CU,86.18,broken clouds,20.6569,-74.9403,
282,Omboue,GA,78.3,overcast clouds,-1.5746,9.2618,
284,Gizo,SB,81.1,light rain,-8.103,156.8419,
289,Ambulu,ID,76.17,overcast clouds,-8.345,113.6058,
290,Labuhan,ID,79.2,few clouds,-6.8844,112.2051,
296,Lucena,PH,80.1,overcast clouds,13.9314,121.6172,
297,Merauke,ID,76.21,overcast clouds,-8.4667,140.3333,
299,Caucaia,BR,85.95,clear sky,-3.7361,-38.6531,
301,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,
302,Sukhobezvodnoye,RU,77.63,scattered clouds,57.0491,44.8891,
310,Tsogni,GA,77.72,overcast clouds,-2.7942,10.0988,
314,Praia,CV,84.74,broken clouds,14.9215,-23.5087,
319,Peoria,US,76.3,overcast clouds,40.7667,-89.7668,
320,Goya,AR,81.63,broken clouds,-29.14,-59.2626,
323,Catamarca,AR,84.58,few clouds,-28.4696,-65.7852,
324,Faya,SA,77.52,overcast clouds,18.3851,42.4509,
325,Cacule,BR,80.55,broken clouds,-14.5033,-42.2222,
328,Avera,US,80.38,overcast clouds,33.194,-82.5271,
329,Rairangpur,IN,80.35,broken clouds,22.2676,86.1751,
330,Hami,CN,77.45,overcast clouds,42.8,93.45,
332,Yueyang,CN,85.62,scattered clouds,29.3333,113.0919,
333,Belize,BZ,80.92,overcast clouds,17.25,-88.75,
334,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,
339,Guaymitas,HN,89.01,overcast clouds,15.4979,-87.7147,
341,Erzin,TR,81.64,clear sky,36.9559,36.2,
343,Dingle,PH,75.96,light rain,10.9995,122.6711,
346,Tessaoua,NE,89.56,overcast clouds,13.7574,7.9874,
350,Pisz,PL,83.61,broken clouds,53.6274,21.8125,
351,Mayo,US,88.5,broken clouds,38.8876,-76.5119,
354,Sinnamary,GF,85.33,few clouds,5.3833,-52.95,
355,Port Blair,IN,78.84,heavy intensity rain,11.6667,92.75,
357,Tarazona,ES,82.22,scattered clouds,41.9,-1.7333,
358,Angoche,MZ,75.67,clear sky,-16.2325,39.9086,
359,Lorengau,PG,81.1,few clouds,-2.0226,147.2712,
360,Bakel,SN,89.02,overcast clouds,14.905,-12.4568,
363,Cockburn Town,TC,82.47,scattered clouds,21.4612,-71.1419,
365,Huntington,US,85.33,broken clouds,38.4193,-82.4452,
366,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,
367,Weligama,LK,76.93,overcast clouds,5.9667,80.4167,
369,Tucuma,BR,87.93,clear sky,-0.1833,-50.05,
370,Jieshi,CN,82.96,overcast clouds,22.8134,115.8257,
371,Santa Isabel Do Rio Negro,BR,82.96,broken clouds,-0.4139,-65.0192,
375,Hamilton,US,81.14,few clouds,39.1834,-84.5333,
376,Kyabe,TD,79.27,light rain,9.4515,18.9449,
377,Kaliganj,BD,83.98,overcast clouds,23.4095,89.1402,
379,Colares,PT,78.46,few clouds,38.7992,-9.4469,
380,Reconquista,AR,79.18,broken clouds,-29.15,-59.65,
381,Sulina,RO,80.46,overcast clouds,45.1559,29.6536,
382,Sola,VU,79.25,few clouds,-13.8833,167.55,
384,Ozinki,RU,85.39,clear sky,51.1786,49.6769,
386,Soke,ML,88.74,overcast clouds,13.598,-5.9386,
388,Catuday,PH,81.54,broken clouds,16.2923,119.8062,
393,Katsuura,JP,80.71,overcast clouds,35.1333,140.3,
396,Kavieng,PG,81.12,light rain,-2.5744,150.7967,
398,Oni,GE,78.55,clear sky,42.5794,43.4425,
399,Benemerito De Las Americas,MX,81.34,overcast clouds,16.5167,-90.6439,
401,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,
405,Karacabey,TR,79.18,light rain,40.2152,28.4038,
407,Arima,TT,84.49,few clouds,10.6333,-61.2833,
408,Roura,GF,87.71,broken clouds,4.7263,-52.3274,
409,Palmer,US,86.52,few clouds,42.1584,-72.3287,
411,Puerto Ayacucho,VE,82.94,overcast clouds,5.6639,-67.6236,
413,Edgewater,US,87.89,broken clouds,28.9889,-80.9023,
416,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,
417,Nishihara,JP,85.68,broken clouds,26.1842,127.7558,
419,Haapsalu,EE,75.9,clear sky,58.9431,23.5414,
420,Lasa,IT,85.08,overcast clouds,46.6166,10.7002,
421,Kasempa,ZM,84.13,clear sky,-13.4584,25.8338,
425,Banda Aceh,ID,79.99,overcast clouds,5.5577,95.3222,
427,Moussoro,TD,88.0,scattered clouds,13.6408,16.4901,
428,Salamiyah,SY,89.44,clear sky,35.0113,37.0532,
432,Lublin,PL,84.22,overcast clouds,51.0,23.0,
437,Kirando,TZ,80.67,few clouds,-7.4167,30.6,
443,Aba,NG,77.92,moderate rain,5.1066,7.3667,
447,Honiara,SB,76.46,overcast clouds,-9.4333,159.95,
449,Pathein,MM,77.49,overcast clouds,16.7833,94.7333,
454,Marsh Harbour,BS,84.02,few clouds,26.5412,-77.0636,
456,Rio Grande,BR,78.91,light rain,-32.035,-52.0986,
457,Bocas Del Toro,PA,82.11,broken clouds,9.3333,-82.25,
