City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Kushiro,JP,42.975,144.3747,63.18,97,100,4.94,overcast clouds
81,Bethel,US,41.3712,-73.414,84.54,66,75,5.75,broken clouds
82,Murdochville,CA,48.9583,-65.5006,64.45,40,99,4.09,overcast clouds
83,Tura,IN,25.5198,90.2201,77.18,86,98,3.51,overcast clouds
84,Yar-Sale,RU,66.8333,70.8333,46.15,70,95,14.85,overcast clouds
85,Varkaus,FI,62.3153,27.873,65.3,52,49,3.91,scattered clouds
86,Riyadh,SA,24.6877,46.7219,102.34,11,52,3.0,broken clouds
87,Lompoc,US,34.6391,-120.4579,57.85,98,100,3.44,mist
88,Kodiak,US,57.79,-152.4072,54.91,88,75,4.61,broken clouds
89,Rocha,UY,-34.4833,-54.3333,72.46,63,9,1.23,clear sky
90,Nguru,NG,12.8791,10.4526,88.79,48,100,5.79,overcast clouds
91,East London,ZA,-33.0153,27.9116,65.01,77,78,11.43,light rain
92,Fortuna,US,40.5982,-124.1573,58.93,94,100,0.0,overcast clouds
93,Muros,ES,42.7762,-9.0603,84.83,50,43,12.28,scattered clouds
94,Lebu,CL,-37.6167,-73.65,50.63,75,100,14.2,overcast clouds
95,Boguchany,RU,58.3814,97.4531,47.88,81,11,2.39,few clouds
96,Shache,CN,38.4167,77.2406,63.19,69,100,10.45,overcast clouds
97,Vinukonda,IN,16.05,79.75,88.7,54,100,0.98,overcast clouds
98,Adrar,MR,20.5022,-10.0711,98.92,29,63,1.63,broken clouds
99,Port Alfred,ZA,-33.5906,26.891,63.18,78,20,3.0,few clouds
100,Tessalit,ML,20.1986,1.0114,106.83,11,56,16.28,broken clouds
101,Guhagar,IN,17.4842,73.1929,77.79,87,70,5.37,broken clouds
102,Tutoia,BR,-2.7619,-42.2744,86.34,50,62,10.74,broken clouds
103,Puerto Ayora,EC,-0.7393,-90.3518,73.36,97,75,5.99,broken clouds
104,Necochea,AR,-38.5473,-58.7368,57.99,42,72,8.12,broken clouds
105,Geraldton,AU,-28.7667,114.6,50.41,87,0,6.91,clear sky
106,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,92.34,22,87,14.0,overcast clouds
107,Tecoanapa,MX,16.5167,-98.75,78.51,84,100,2.84,overcast clouds
108,Mezen,RU,65.8522,44.24,63.39,64,40,3.2,scattered clouds
109,Asau,RO,46.4333,26.4,85.28,34,1,5.41,clear sky
110,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,79,75,12.66,broken clouds
111,Hualmay,PE,-11.0964,-77.6139,64.69,72,47,7.92,scattered clouds
112,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,100,100,8.05,light intensity drizzle
113,Kapaa,US,22.0752,-159.319,75.18,90,100,4.61,overcast clouds
114,Airai,TL,-8.9266,125.4092,54.88,91,17,2.68,few clouds
115,Guerrero Negro,MX,27.9769,-114.0611,73.54,80,18,11.34,few clouds
116,Chau Doc,VN,10.7,105.1167,79.92,87,100,4.79,overcast clouds
117,Saskylakh,RU,71.9167,114.0833,46.62,95,100,19.82,moderate rain
118,Grindavik,IS,63.8424,-22.4338,54.07,54,0,18.41,clear sky
119,Mendoza,AR,-32.8908,-68.8272,64.69,31,100,2.89,overcast clouds
120,Laakirchen,AT,47.9819,13.8217,83.55,65,74,3.42,broken clouds
121,General Roca,AR,-39.0333,-67.5833,57.07,35,100,11.1,overcast clouds
122,Miranda De Ebro,ES,42.6865,-2.947,77.81,43,86,12.1,overcast clouds
123,San Quintin,MX,30.4833,-115.95,71.01,85,5,7.25,clear sky
124,La Ronge,CA,55.1001,-105.2842,68.74,50,0,5.61,clear sky
125,Kaitangata,NZ,-46.2817,169.8464,38.12,95,8,5.14,clear sky
126,Salisbury,GB,51.0693,-1.7957,74.77,47,0,8.05,clear sky
127,Saint-Francois,FR,46.4154,3.9054,80.04,54,75,10.36,broken clouds
128,Antofagasta,CL,-23.65,-70.4,60.08,63,85,5.08,overcast clouds
129,West Bay,KY,19.3667,-81.4167,89.06,75,40,5.75,scattered clouds
130,Lashio,MM,22.9333,97.75,70.99,100,100,2.53,overcast clouds
131,Sorong,ID,-0.8833,131.25,78.1,85,92,5.84,moderate rain
132,Malpe,IN,13.35,74.7167,79.9,90,100,7.7,overcast clouds
133,Vanimo,PG,-2.6741,141.3028,78.42,87,68,4.54,broken clouds
134,Ziro,IN,27.6333,93.8333,62.46,98,99,1.92,overcast clouds
135,Vaini,TO,-21.2,-175.2,71.76,100,20,4.61,few clouds
136,Karabash,RU,55.4808,60.2157,68.54,70,43,5.17,scattered clouds
137,Hai Duong,VN,20.9333,106.3167,86.0,93,99,6.55,moderate rain
138,Cayenne,GF,4.9333,-52.3333,87.84,58,75,5.75,broken clouds
139,Kargopol,RU,61.5071,38.9456,69.62,83,61,2.73,light rain
140,Mahebourg,MU,-20.4081,57.7,71.26,73,40,11.5,scattered clouds
141,Hobyo,SO,5.3505,48.5268,76.77,78,18,26.82,few clouds
142,Srednekolymsk,RU,67.45,153.6833,42.85,79,75,2.84,broken clouds
143,Brae,GB,60.3964,-1.353,56.66,78,69,14.27,broken clouds
144,Siilinjarvi,FI,63.0833,27.6667,69.82,49,0,4.61,clear sky
145,Yellowknife,CA,62.456,-114.3525,63.86,72,49,8.9,scattered clouds
146,Pauini,BR,-7.7136,-66.9764,95.59,33,2,2.37,clear sky
147,Hasaki,JP,35.7333,140.8333,77.4,91,99,12.33,overcast clouds
148,Skibbereen,IE,51.55,-9.2667,64.11,61,47,13.06,scattered clouds
149,Sinazongwe,ZM,-17.2614,27.4618,79.72,34,0,6.44,clear sky
150,Kruisfontein,ZA,-34.0033,24.7314,59.88,60,24,7.78,few clouds
151,Torbay,CA,47.6666,-52.7314,76.87,75,75,4.07,light rain
152,Westport,US,41.1415,-73.3579,86.76,64,0,4.61,clear sky
153,Clyde River,CA,70.4692,-68.5914,37.63,100,100,6.91,overcast clouds
154,Constitucion,CL,-35.3333,-72.4167,54.21,55,100,8.52,overcast clouds
155,Luganville,VU,-15.5333,167.1667,76.48,86,96,12.3,overcast clouds
156,Atar,MR,20.5169,-13.0499,97.5,35,87,11.1,overcast clouds
157,Cabo San Lucas,MX,22.8909,-109.9124,88.52,58,40,11.5,scattered clouds
158,Ponta Do Sol,PT,32.6667,-17.1,77.72,69,57,1.77,broken clouds
159,Kargasok,RU,59.0556,80.8572,54.32,74,100,6.98,overcast clouds
160,Bengkulu,ID,-3.8004,102.2655,75.87,90,65,3.96,broken clouds
161,Tautira,PF,-17.7333,-149.15,75.27,76,100,8.28,light rain
